optionid,productid,catalogid,category_id,featurecaption,featuretype,featurerequired,sorting,url,info,featureid,featurename,featureprice,sorting,partnumber,imagepath,selected,hidden,optcatalogid,qty,thumbpath,colorcode
,,,,,,,,,,9349,16 IP Camera Licenses,1200,12,-16,,0,0,0,1,,
,,,,,,,,,,9350,17 IP Camera Licenses,1300,13,-17,,0,0,0,1,,
,,,,,,,,,,9351,18 IP Camera Licenses,1400,14,-18,,0,0,0,1,,
,,,,,,,,,,9352,19 IP Camera Licenses,1500,15,-19,,0,0,0,1,,
,,,,,,,,,,9353,20 IP Camera Licenses,1600,16,-20,,0,0,0,1,,
,,,,,,,,,,9354,21 IP Camera Licenses,1700,17,-21,,0,0,0,1,,
,,,,,,,,,,9355,22 IP Camera Licenses,1800,18,-22,,0,0,0,1,,
,,,,,,,,,,9356,23 IP Camera Licenses,1900,19,-23,,0,0,0,1,,
,,,,,,,,,,9357,24 IP Camera Licenses,2000,20,-24,,0,0,0,1,,
,,,,,,,,,,9358,25 IP Camera Licenses,2100,21,-25,,0,0,0,1,,
,,,,,,,,,,9359,26 IP Camera Licenses,2200,22,-26,,0,0,0,1,,
,,,,,,,,,,9360,27 IP Camera Licenses,2300,23,-27,,0,0,0,1,,
,,,,,,,,,,9361,28 IP Camera Licenses,2400,24,-28,,0,0,0,1,,
,,,,,,,,,,9362,29 IP Camera Licenses,2500,25,-29,,0,0,0,1,,
,,,,,,,,,,9363,30 IP Camera Licenses,2600,26,-30,,0,0,0,1,,
,,,,,,,,,,9364,31 IP Camera Licenses,2700,27,-31,,0,0,0,1,,
,,,,,,,,,,9365,32 IP Camera Licenses,2800,28,-32,,0,0,0,1,,
,,,,,,,,,,9366,33 IP Camera Licenses,2900,29,-33,,0,0,0,0,,
,,,,,,,,,,9367,34 IP Camera Licenses,3000,30,-34,,0,0,0,0,,
,,,,,,,,,,9368,35 IP Camera Licenses,3100,31,-35,,0,0,0,0,,
,,,,,,,,,,9369,36 IP Camera Licenses,3200,32,-36,,0,0,0,0,,
,,,,,,,,,,9370,37 IP Camera Licenses,3300,33,-37,,0,0,0,0,,
,,,,,,,,,,9371,38 IP Camera Licenses,3400,34,-38,,0,0,0,0,,
,,,,,,,,,,9372,39 IP Camera Licenses,3500,35,-39,,0,0,0,0,,
,,,,,,,,,,9373,40 IP Camera Licenses,3600,36,-40,,0,0,0,0,,
,,,,,,,,,,9374,41 IP Camera Licenses,3700,37,-41,,0,0,0,0,,
,,,,,,,,,,9375,42 IP Camera Licenses,3800,38,-42,,0,0,0,0,,
,,,,,,,,,,9376,43 IP Camera Licenses,3900,39,-43,,0,0,0,0,,
,,,,,,,,,,9377,44 IP Camera Licenses,4000,40,-44,,0,0,0,0,,
,,,,,,,,,,9378,45 IP Camera Licenses,4100,41,-45,,0,0,0,0,,
,,,,,,,,,,9379,46 IP Camera Licenses,4200,42,-46,,0,0,0,0,,
,,,,,,,,,,9380,47 IP Camera Licenses,4300,43,-47,,0,0,0,0,,
,,,,,,,,,,9381,48 IP Camera Licenses,4400,44,-48,,0,0,0,0,,
,,,,,,,,,,9382,49 IP Camera Licenses,4500,45,-49,,0,0,0,0,,
,,,,,,,,,,9383,50 IP Camera Licenses,4600,46,-50,,0,0,0,0,,
,,,,,,,,,,9892,No IP Licenses,-200,47,#NAME?,,0,0,0,0,,
1982,PlatinumNVR,109,0,RAM,Dropdown,1,1,,,9392,8GB DDR4 RAM Installed,0,0,+8GB,,1,0,0,0,,
,,,,,,,,,,9393,16GB DDR4 RAM Installed,110,1,+16GB,,0,0,0,0,,
,,,,,,,,,,9394,32GB DDR4 RAM Installed,275,2,+32GB,,0,0,0,0,,
318,ADDIPs,163,0,Number of IP Licenses,Dropdown,1,0,,,1726,Add 1 IP Camera License,0,0,1,,1,0,0,1,,
,,,,,,,,,,1727,Add 2 IP Camera License,100,1,2,,0,0,0,1,,
,,,,,,,,,,1728,Add 3 IP Camera License,200,2,3,,0,0,0,1,,
,,,,,,,,,,1729,Add 4 IP Camera License,300,3,4,,0,0,0,1,,
,,,,,,,,,,1730,Add 5 IP Camera License,400,4,5,,0,0,0,1,,
,,,,,,,,,,1731,Add 6 IP Camera License,500,5,6,,0,0,0,1,,
,,,,,,,,,,1732,Add 7 IP Camera License,600,6,7,,0,0,0,1,,
,,,,,,,,,,1733,Add 8 IP Camera License,700,7,8,,0,0,0,1,,
,,,,,,,,,,1734,Add 9 IP Camera License,800,8,9,,0,0,0,1,,
,,,,,,,,,,1735,Add 10 IP Camera License,900,9,10,,0,0,0,1,,
,,,,,,,,,,1736,Add 11 IP Camera License,1000,10,11,,0,0,0,1,,
,,,,,,,,,,1737,Add 12 IP Camera License,1100,11,12,,0,0,0,1,,
,,,,,,,,,,1738,Add 13 IP Camera License,1200,12,13,,0,0,0,1,,
,,,,,,,,,,1739,Add 14 IP Camera License,1300,13,14,,0,0,0,1,,
,,,,,,,,,,1740,Add 15 IP Camera License,1400,14,15,,0,0,0,1,,
,,,,,,,,,,1741,Add 16 IP Camera License,1500,15,16,,0,0,0,1,,
,,,,,,,,,,1742,Add 17 IP Camera License,1600,16,17,,0,0,0,1,,
,,,,,,,,,,1743,Add 18 IP Camera License,1700,17,18,,0,0,0,1,,
,,,,,,,,,,1744,Add 19 IP Camera License,1800,18,19,,0,0,0,1,,
,,,,,,,,,,1745,Add 20 IP Camera License,1900,19,20,,0,0,0,1,,
,,,,,,,,,,1746,Add 21 IP Camera License,2000,20,21,,0,0,0,1,,
,,,,,,,,,,1747,Add 22 IP Camera License,2100,21,22,,0,0,0,1,,
,,,,,,,,,,1748,Add 23 IP Camera License,2200,22,23,,0,0,0,1,,
,,,,,,,,,,1749,Add 24 IP Camera License,2300,23,24,,0,0,0,1,,
,,,,,,,,,,1750,Add 25 IP Camera License,2400,24,25,,0,0,0,1,,
,,,,,,,,,,1751,Add 26 IP Camera License,2500,25,26,,0,0,0,1,,
,,,,,,,,,,1752,Add 27 IP Camera License,2600,26,27,,0,0,0,1,,
,,,,,,,,,,1753,Add 28 IP Camera License,2700,27,28,,0,0,0,1,,
422,AN-ADDIPs,164,0,Add IP Camera Licenses,Dropdown,0,2,,,1998,Add 4 IP Camera Licenses for HD IP Cameras,0,0,+4IP,,1,0,0,1,,
,,,,,,,,,,1999,Add 8 IP Camera Licenses for HD IP Cameras,400,1,+8IP,,0,0,0,1,,
,,,,,,,,,,2000,Add 12 IP Camera Licenses for HD IP Cameras,800,2,+12IP,,0,0,0,1,,
,,,,,,,,,,2001,Add 16 IP Camera Licenses for HD IP Cameras,1200,3,+16IP,,0,0,0,1,,
1958,dMicroNVR,237,0,CPU,Dropdown,1,0,,,9067,Intel i3 CPU,0,0,0,,1,0,0,1,,
,,,,,,,,,,9068,Intel i5 CPU,160,1,0,,0,0,0,1,,
,,,,,,,,,,9069,Intel i7 CPU,585,2,0,,0,0,0,1,,
1961,dMicroNVR,237,0,Hard Drive Size,Dropdown,1,4,,,9074,1 TB Hard Drive Installed,0,0,+1TB,,1,0,0,1,,
,,,,,,,,,,9075,2 TB Hard Drive Installed,55,1,+2TB,,0,0,0,1,,
,,,,,,,,,,9076,5 TB Hard Drive Installed ,285,2,+5TB,,0,0,0,1,,
1963,dMicroNVR,237,0,M2 OS Drive,Dropdown,1,1,,,9099,M.2 OS Drive,0,0,,,1,0,0,0,,
1962,dMicroNVR,237,0,Number of IP Licenses,Dropdown,1,10,,,9077,10 IP Camera Licenses,420,6,-10,,0,0,0,1,,
,,,,,,,,,,9078,11 IP Camera Licenses,490,7,-11,,0,0,0,1,,
,,,,,,,,,,9079,12 IP Camera Licenses,560,8,-12,,0,0,0,1,,
,,,,,,,,,,9080,13 IP Camera Licenses,630,9,-13,,0,0,0,1,,
,,,,,,,,,,9081,14 IP Camera Licenses,700,10,-14,,0,0,0,1,,
,,,,,,,,,,9082,15 IP Camera Licenses,770,11,-15,,0,0,0,1,,
,,,,,,,,,,9083,16 IP Camera Licenses,840,12,-16,,0,0,0,1,,
,,,,,,,,,,9084,17 IP Camera Licenses,910,13,-17,,0,0,0,1,,
,,,,,,,,,,9085,18 IP Camera Licenses,980,14,-18,,0,0,0,1,,
,,,,,,,,,,9086,19 IP Camera Licenses,1050,15,-19,,0,0,0,1,,
,,,,,,,,,,9087,20 IP Camera Licenses,1120,16,-20,,0,0,0,1,,
,,,,,,,,,,9088,21 IP Camera Licenses,1190,17,-21,,0,0,0,1,,
,,,,,,,,,,9089,22 IP Camera Licenses,1260,18,-22,,0,0,0,1,,
,,,,,,,,,,9090,23 IP Camera Licenses,1330,19,-23,,0,0,0,1,,
,,,,,,,,,,9091,24 IP Camera Licenses,1400,20,-24,,0,0,0,1,,
,,,,,,,,,,9092,4 IP Camera Licenses,0,0,-4,,1,0,0,1,,
,,,,,,,,,,9093,5 IP Camera Licenses,70,1,-5,,0,0,0,1,,
,,,,,,,,,,9094,6 IP Camera Licenses,140,2,-6,,0,0,0,1,,
,,,,,,,,,,9095,7 IP Camera Licenses,210,3,-7,,0,0,0,1,,
,,,,,,,,,,9096,8 IP Camera Licenses,280,4,-8,,0,0,0,1,,
,,,,,,,,,,9097,9 IP Camera Licenses,350,5,-9,,0,0,0,1,,
,,,,,,,,,,9098,No IP Camera Licenses,-140,21,#NAME?,,0,0,0,1,,
1960,dMicroNVR,237,0,Operating System,Dropdown,1,2,,,9072,Windows 10 Embedded,0,0,#NAME?,,1,0,0,1,,
,,,,,,,,,,9073,No Operating System,-60,1,#NAME?,,0,0,0,1,,
1959,dMicroNVR,237,0,RAM,Dropdown,1,1,,,9070,16GB DDR RAM,85,1,+16GB,,0,0,0,1,,
,,,,,,,,,,9071,8GB DDR RAM,0,0,+8GB,,1,0,0,1,,
1548,dPlatinumNVR,238,0,CPU,Dropdown,1,0,,,6725,Intel i5 CPU,0,0,0,,1,0,0,1,,
,,,,,,,,,,6726,Intel i7 CPU,250,1,0,,0,0,0,1,,
1978,dPlatinumNVR,238,0,Hard Drive Size,Dropdown,1,3,,,9330,4 TB Hard Drives Installed + M.2 OS Drive,0,0,+4TB,,1,0,0,1,,
,,,,,,,,,,9331,8 TB Hard Drive Installed + M.2 OS Drive,185,1,+8TB,,0,0,0,1,,
,,,,,,,,,,9332,12 TB Hard Drive Installed + M.2 OS Drive,375,2,+12TB,,0,0,0,0,,
,,,,,,,,,,9333,16 TB Hard Drive Installed + M.2 OS Drive,500,3,16,,0,0,0,0,,
,,,,,,,,,,9334,32 TB Hard Drive Installed + M.2 OS Drive,1100,4,+32TB,,0,0,0,0,,
,,,,,,,,,,9335,48 TB Hard Drives Installed + M.2 OS Drive,1700,5,+48TB,,0,0,0,0,,
,,,,,,,,,,9336,64 TB Hard Drives Installed + M.2 OS Drive,2300,6,+64TB,,0,0,0,0,,
1977,dPlatinumNVR,238,0,Number of IP Licenses,Dropdown,1,4,,,9281,4 IP Camera Licenses,0,0,-4,,1,0,0,1,,
,,,,,,,,,,9282,5 IP Camera Licenses,70,1,-5,,0,0,0,1,,
,,,,,,,,,,9283,6 IP Camera Licenses,140,2,-6,,0,0,0,1,,
,,,,,,,,,,9284,7 IP Camera Licenses,210,3,-7,,0,0,0,1,,
,,,,,,,,,,9285,8 IP Camera Licenses,280,4,-8,,0,0,0,1,,
,,,,,,,,,,9286,9 IP Camera Licenses,350,5,-9,,0,0,0,1,,
,,,,,,,,,,9287,10 IP Camera Licenses,420,6,-10,,0,0,0,1,,
,,,,,,,,,,9288,11 IP Camera Licenses,490,7,-11,,0,0,0,1,,
,,,,,,,,,,9289,12 IP Camera Licenses,560,8,-12,,0,0,0,1,,
,,,,,,,,,,9290,13 IP Camera Licenses,630,9,-13,,0,0,0,1,,
,,,,,,,,,,9291,14 IP Camera Licenses,700,10,-14,,0,0,0,1,,
,,,,,,,,,,9292,15 IP Camera Licenses,770,11,-15,,0,0,0,1,,
,,,,,,,,,,9293,16 IP Camera Licenses,840,12,-16,,0,0,0,1,,
,,,,,,,,,,9294,17 IP Camera Licenses,910,13,-17,,0,0,0,1,,
,,,,,,,,,,9295,18 IP Camera Licenses,980,14,-18,,0,0,0,1,,
,,,,,,,,,,9296,19 IP Camera Licenses,1050,15,-19,,0,0,0,1,,
,,,,,,,,,,9297,20 IP Camera Licenses,1120,16,-20,,0,0,0,1,,
,,,,,,,,,,9298,21 IP Camera Licenses,1190,17,-21,,0,0,0,1,,
,,,,,,,,,,9299,22 IP Camera Licenses,1260,18,-22,,0,0,0,1,,
,,,,,,,,,,9300,23 IP Camera Licenses,1330,19,-23,,0,0,0,1,,
,,,,,,,,,,9301,24 IP Camera Licenses,1400,20,-24,,0,0,0,1,,
,,,,,,,,,,9302,25 IP Camera Licenses,1470,21,-25,,0,0,0,1,,
,,,,,,,,,,9303,26 IP Camera Licenses,1540,22,-26,,0,0,0,1,,
,,,,,,,,,,9304,27 IP Camera Licenses,1610,23,-27,,0,0,0,1,,
,,,,,,,,,,9305,28 IP Camera Licenses,1680,24,-28,,0,0,0,1,,
,,,,,,,,,,9306,29 IP Camera Licenses,1750,25,-29,,0,0,0,1,,
,,,,,,,,,,9307,30 IP Camera Licenses,1820,26,-30,,0,0,0,1,,
,,,,,,,,,,9308,31 IP Camera Licenses,1890,27,-31,,0,0,0,1,,
,,,,,,,,,,9309,32 IP Camera Licenses,1960,28,-32,,0,0,0,1,,
,,,,,,,,,,9310,33 IP Camera Licenses,2030,29,-33,,0,0,0,0,,
,,,,,,,,,,9311,34 IP Camera Licenses,2100,30,-34,,0,0,0,0,,
,,,,,,,,,,9312,35 IP Camera Licenses,2170,31,-35,,0,0,0,0,,
,,,,,,,,,,9313,36 IP Camera Licenses,2240,32,-36,,0,0,0,0,,
,,,,,,,,,,9314,37 IP Camera Licenses,2310,33,-37,,0,0,0,0,,
,,,,,,,,,,9315,38 IP Camera Licenses,2380,34,-38,,0,0,0,0,,
,,,,,,,,,,9316,39 IP Camera Licenses,2450,35,-39,,0,0,0,0,,
,,,,,,,,,,9317,40 IP Camera Licenses,2520,36,-40,,0,0,0,0,,
,,,,,,,,,,9318,41 IP Camera Licenses,2590,37,-41,,0,0,0,0,,
,,,,,,,,,,9319,42 IP Camera Licenses,2660,38,-42,,0,0,0,0,,
,,,,,,,,,,9320,43 IP Camera Licenses,2730,39,-43,,0,0,0,0,,
,,,,,,,,,,9321,44 IP Camera Licenses,2800,40,-44,,0,0,0,0,,
,,,,,,,,,,9322,45 IP Camera Licenses,2870,41,-45,,0,0,0,0,,
,,,,,,,,,,9323,46 IP Camera Licenses,2940,42,-46,,0,0,0,0,,
,,,,,,,,,,9324,47 IP Camera Licenses,3010,43,-47,,0,0,0,0,,
,,,,,,,,,,9325,48 IP Camera Licenses,3080,44,-48,,0,0,0,0,,
,,,,,,,,,,9326,49 IP Camera Licenses,3150,45,-49,,0,0,0,0,,
,,,,,,,,,,9327,50 IP Camera Licenses,3220,46,-50,,0,0,0,0,,
,,,,,,,,,,9893,NO IP Camera Licenses,-140,47,#NAME?,,0,0,0,0,,
1550,dPlatinumNVR,238,0,Operating System,Dropdown,1,3,,,6733,Windows 10 Embedded,0,0,#NAME?,,1,0,0,1,,
,,,,,,,,,,6734,No Operating System,-65,1,#NAME?,,0,0,0,1,,
1549,dPlatinumNVR,238,0,RAM,Dropdown,1,1,,,6728,8GB DDR RAM,0,0,+8GB,,1,0,0,1,,
,,,,,,,,,,6729,16GB DDR RAM,90,1,+16GB,,0,0,0,1,,
,,,,,,,,,,6731,32GB DDR RAM,220,2,+32GB,,0,0,0,1,,
854,dADDIPs,239,0,Number of IP Licenses,Dropdown,1,0,,,3805,Add 1 IP Camera License,0,0,1,,1,0,0,1,,
,,,,,,,,,,3806,Add 2 IP Camera License,70,1,2,,0,0,0,1,,
,,,,,,,,,,3807,Add 3 IP Camera License,140,2,3,,0,0,0,1,,
,,,,,,,,,,3808,Add 4 IP Camera License,210,3,4,,0,0,0,1,,
,,,,,,,,,,3809,Add 5 IP Camera License,280,4,5,,0,0,0,1,,
,,,,,,,,,,3810,Add 6 IP Camera License,350,5,6,,0,0,0,1,,
,,,,,,,,,,3811,Add 7 IP Camera License,420,6,7,,0,0,0,1,,
,,,,,,,,,,3812,Add 8 IP Camera License,490,7,8,,0,0,0,1,,
,,,,,,,,,,3813,Add 9 IP Camera License,560,8,9,,0,0,0,1,,
,,,,,,,,,,3814,Add 10 IP Camera License,630,9,10,,0,0,0,1,,
,,,,,,,,,,3815,Add 11 IP Camera License,700,10,11,,0,0,0,1,,
,,,,,,,,,,3816,Add 12 IP Camera License,770,11,12,,0,0,0,1,,
,,,,,,,,,,3817,Add 13 IP Camera License,840,12,13,,0,0,0,1,,
,,,,,,,,,,3818,Add 14 IP Camera License,910,13,14,,0,0,0,1,,
,,,,,,,,,,3819,Add 15 IP Camera License,980,14,15,,0,0,0,1,,
,,,,,,,,,,3820,Add 16 IP Camera License,1050,15,16,,0,0,0,1,,
,,,,,,,,,,3821,Add 17 IP Camera License,1120,16,17,,0,0,0,1,,
,,,,,,,,,,3822,Add 18 IP Camera License,1190,17,18,,0,0,0,1,,
,,,,,,,,,,3823,Add 19 IP Camera License,1260,18,19,,0,0,0,1,,
,,,,,,,,,,3824,Add 20 IP Camera License,1330,19,20,,0,0,0,1,,
,,,,,,,,,,3825,Add 21 IP Camera License,1400,20,21,,0,0,0,1,,
,,,,,,,,,,3826,Add 22 IP Camera License,1470,21,22,,0,0,0,1,,
,,,,,,,,,,3827,Add 23 IP Camera License,1540,22,23,,0,0,0,1,,
,,,,,,,,,,3828,Add 24 IP Camera License,1610,23,24,,0,0,0,1,,
,,,,,,,,,,3829,Add 25 IP Camera License,1680,24,25,,0,0,0,1,,
,,,,,,,,,,3830,Add 26 IP Camera License,1750,25,26,,0,0,0,1,,
,,,,,,,,,,3831,Add 27 IP Camera License,1820,26,27,,0,0,0,1,,
,,,,,,,,,,3832,Add 28 IP Camera License,1890,27,28,,0,0,0,1,,
856,dAN-ADDIPs,240,0,Add IP Camera Licenses,Dropdown,0,2,,,3837,Add 4 IP Camera Licenses for HD IP Cameras,0,0,+4IP,,1,0,0,1,,
,,,,,,,,,,3838,Add 8 IP Camera Licenses for HD IP Cameras,340,1,+8IP,,0,0,0,1,,
,,,,,,,,,,3839,Add 12 IP Camera Licenses for HD IP Cameras,680,2,+12IP,,0,0,0,1,,
,,,,,,,,,,3840,Add 16 IP Camera Licenses for HD IP Cameras,1020,3,+16IP,,0,0,0,1,,
879,dNETCAM,246,0,Number of IP Licenses,Dropdown,1,0,,,3971,4 IP Camera Licenses,0,0,-4,,1,0,0,1,,
,,,,,,,,,,3972,5 IP Camera Licenses,70,1,-5,,0,0,0,1,,
,,,,,,,,,,3973,6 IP Camera Licenses,140,2,-6,,0,0,0,1,,
,,,,,,,,,,3974,7 IP Camera Licenses,210,3,-7,,0,0,0,1,,
,,,,,,,,,,3975,8 IP Camera Licenses,280,4,-8,,0,0,0,1,,
,,,,,,,,,,3976,9 IP Camera Licenses,350,5,-9,,0,0,0,1,,
,,,,,,,,,,3977,10 IP Camera Licenses,420,6,-10,,0,0,0,1,,
,,,,,,,,,,3978,11 IP Camera Licenses,490,7,-11,,0,0,0,1,,
,,,,,,,,,,3979,12 IP Camera Licenses,560,8,-12,,0,0,0,1,,
,,,,,,,,,,3980,13 IP Camera Licenses,630,9,-13,,0,0,0,1,,
,,,,,,,,,,3981,14 IP Camera Licenses,700,10,-14,,0,0,0,1,,
,,,,,,,,,,3982,15 IP Camera Licenses,770,11,-15,,0,0,0,1,,
,,,,,,,,,,3983,16 IP Camera Licenses,840,12,-16,,0,0,0,1,,
,,,,,,,,,,3984,17 IP Camera Licenses,910,13,-17,,0,0,0,1,,
,,,,,,,,,,3985,18 IP Camera Licenses,980,14,-18,,0,0,0,1,,
,,,,,,,,,,3986,19 IP Camera Licenses,1050,15,-19,,0,0,0,1,,
,,,,,,,,,,3987,20 IP Camera Licenses,1120,16,-20,,0,0,0,1,,
,,,,,,,,,,3988,21 IP Camera Licenses,1190,17,-21,,0,0,0,1,,
,,,,,,,,,,3989,22 IP Camera Licenses,1260,18,-22,,0,0,0,1,,
,,,,,,,,,,3990,23 IP Camera Licenses,1330,19,-23,,0,0,0,1,,
,,,,,,,,,,3991,24 IP Camera Licenses,1400,20,-24,,0,0,0,1,,
,,,,,,,,,,3992,25 IP Camera Licenses,1470,21,-25,,0,0,0,1,,
,,,,,,,,,,3993,26 IP Camera Licenses,1540,22,-26,,0,0,0,1,,
,,,,,,,,,,3994,27 IP Camera Licenses,1610,23,-27,,0,0,0,1,,
,,,,,,,,,,3995,28 IP Camera Licenses,1680,24,-28,,0,0,0,1,,
,,,,,,,,,,3996,29 IP Camera Licenses,1750,25,-29,,0,0,0,1,,
,,,,,,,,,,3997,30 IP Camera Licenses,1820,26,-30,,0,0,0,1,,
,,,,,,,,,,3998,31 IP Camera Licenses,1890,27,-31,,0,0,0,1,,
,,,,,,,,,,3999,32 IP Camera Licenses,1960,28,-32,,0,0,0,1,,
1986,HD-4217,277,0,Edge Backup Recording,Dropdown,1,1,,,9404,No SD Card - No Backup Recording on Device,0,0,,,1,0,0,0,,
,,,,,,,,,,9405,256GB MicroSD Card for Backup/Edge Recording,85,1,+256GB,,0,0,0,0,,
1985,HD-4217,277,0,Mounting Bracket,Dropdown,0,0,,,9399,No Brackets Needed,0,0,,,1,0,0,1,,
,,,,,,,,,,9400,Wall Mount Bracket,85,1,#NAME?,,0,0,0,1,,
,,,,,,,,,,9401,Corner Mount Bracket,185,2,#NAME?,,0,0,0,1,,
,,,,,,,,,,9402,Pole Mount Bracket,185,3,#NAME?,,0,0,0,1,,
,,,,,,,,,,9403,"Pendant Mount Bracket (10"" drop with adapters)",115,4,#NAME?,,0,0,0,1,,
1988,HD-9447,278,0,Edge Backup Recording,Dropdown,1,1,,,9411,No SD Card - No Backup Recording on Device,0,0,,,1,0,0,0,,
,,,,,,,,,,9412,256GB MicroSD Card for Backup/Edge Recording,85,1,+256GB,,0,0,0,0,,
1987,HD-9447,278,0,Mounting Bracket,Dropdown,0,0,,,9406,No Brackets Needed,0,0,,,1,0,0,1,,
,,,,,,,,,,9407,Wall Mount Bracket,85,1,#NAME?,,0,0,0,1,,
,,,,,,,,,,9408,Corner Mount Bracket,185,2,#NAME?,,0,0,0,1,,
,,,,,,,,,,9409,Pole Mount Bracket,185,3,#NAME?,,0,0,0,1,,
,,,,,,,,,,9410,"Pendant Mount Bracket (10"" drop with adapters)",115,4,#NAME?,,0,0,0,1,,
1990,HD-4418,297,0,Edge Backup Recording,Dropdown,1,1,,,9418,No SD Card - No Backup Recording on Device,0,0,,,1,0,0,0,,
,,,,,,,,,,9419,256GB MicroSD Card for Backup/Edge Recording,85,1,+256GB,,0,0,0,0,,
1989,HD-4418,297,0,Mounting Bracket,Dropdown,0,0,,,9413,No Brackets Needed,0,0,,,1,0,0,1,,
,,,,,,,,,,9414,Wall Mount Bracket,85,1,#NAME?,,0,0,0,1,,
,,,,,,,,,,9415,Corner Mount Bracket,185,2,#NAME?,,0,0,0,1,,
,,,,,,,,,,9416,Pole Mount Bracket,185,3,#NAME?,,0,0,0,1,,
,,,,,,,,,,9417,"Pendant Mount Bracket (10"" drop with adapters)",115,4,#NAME?,,0,0,0,1,,
1992,HD-4818,298,0,Edge Backup Recording,Dropdown,1,1,,,9425,No SD Card - No Backup Recording on Device,0,0,,,1,0,0,0,,
,,,,,,,,,,9426,256GB MicroSD Card for Backup/Edge Recording,85,1,+256GB,,0,0,0,0,,
1991,HD-4818,298,0,Mounting Bracket,Dropdown,0,0,,,9420,No Brackets Needed,0,0,,,1,0,0,1,,
,,,,,,,,,,9421,Wall Mount Bracket,85,1,#NAME?,,0,0,0,1,,
,,,,,,,,,,9422,Corner Mount Bracket,185,2,#NAME?,,0,0,0,1,,
,,,,,,,,,,9423,Pole Mount Bracket,185,3,#NAME?,,0,0,0,1,,
,,,,,,,,,,9424,"Pendant Mount Bracket (10"" drop with adapters)",115,4,#NAME?,,0,0,0,1,,
2072,HD-8217,299,0,Audio,Dropdown,1,0,,,9712,No Audio,0,0,,,1,0,0,0,,
,,,,,,,,,,9713,Built-in Audio Microphone,30,1,#NAME?,,0,0,0,0,,
2071,HD-8217,299,0,Color,DropImage,1,0,,,9710,White Housing Color,0,0,,assets/images/Products/Cameras/HD-8x17/thumbnails/hd-8x17_1_thumbnail.jpg,1,0,0,0,,
2070,HD-8217,299,0,Mounting Bracket,Dropdown,0,3,,,9704,No Brackets Needed,0,0,,,1,0,0,1,,
,,,,,,,,,,9705,Weatherproof Junction Box,65,2,#NAME?,,0,0,0,1,,
,,,,,,,,,,9706,Indoor/Outdoor Junction Box,45,1,#NAME?,,0,0,0,1,,
,,,,,,,,,,9707,Pole Mount Bracket & Junction Box,110,4,#NAME?,,0,0,0,1,,
,,,,,,,,,,9708,Wall Mount Bracket,75,3,#NAME?,,0,0,0,0,,
,,,,,,,,,,9709,Pendant Mount and Pendant Cap,85,5,#NAME?,,0,0,0,0,,
2075,HD-8418,300,0,Audio,Dropdown,1,0,,,9722,No Audio,0,0,,,1,0,0,0,,
